id,title,source_url,source_date,vacancies,published_deadline,content_file
11,StockHolding CISO Recruitment 2026,https://www.indgovtjobs.in/2026/08/stockholding-ciso-recruitment.html,30 August 2026,2,02 September 2026,posts/11_stockholding-ciso-recruitment-2026.md
12,NGEL Engineer & Executive Recruitment 2026,https://www.indgovtjobs.in/2026/08/NGEL-Advt-No-04-26.html,18 August 2026,147,07 September 2026,posts/12_ngel-engineer-executive-recruitment-2026.md
13,CSIR Technician Recruitment 2026,https://www.indgovtjobs.in/2026/08/csir-technician-recruitment.html,18 August 2026,43,17 September 2026,posts/13_csir-technician-recruitment-2026.md
14,BHEL FTA Supervisor Vacancy 2026,https://www.indgovtjobs.in/2026/08/bhel-fta-supervisor-vacancy.html,18 August 2026,10,07 September 2026,posts/14_bhel-fta-supervisor-vacancy-2026.md
15,AAI Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/08/aai-apprentice-recruitment.html,06 August 2026,36,30 September 2026,posts/15_aai-apprentice-recruitment-2026.md
16,Army Ordnance Corps Recruitment 2026,https://www.indgovtjobs.in/2026/08/army-ordnance-corps-recruitment.html,07 August 2026,2615,22 September 2026,posts/16_army-ordnance-corps-recruitment-2026.md
17,HVPNL Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/08/hvpnl-apprentice-recruitment.html,13 August 2026,114,14 August 2026,posts/17_hvpnl-apprentice-recruitment-2026.md
18,Konkan Railway Recruitment 2026,https://www.indgovtjobs.in/2026/08/Konkan-Railway-Recruitment.html,03 August 2026,201,August 2026,posts/18_konkan-railway-recruitment-2026.md
19,CNCI Specialist and Scientist Recruitment 2026,https://www.indgovtjobs.in/2026/08/cnci-specialist-and-scientist.html,10 August 2026,8,31 August 2026,posts/19_cnci-specialist-and-scientist-recruitment-2026.md
20,iDEX DIO Consultant Recruitment 2026,https://www.indgovtjobs.in/2026/08/idex-dio-recruitment.html,09 August 2026,6,10 August 2026,posts/20_idex-dio-consultant-recruitment-2026.md
21,ADA Consultant Recruitment 2026,https://www.indgovtjobs.in/2026/08/ada-consultant-recruitment.html,05 August 2026,3,08 August 2026,posts/21_ada-consultant-recruitment-2026.md
22,HURL Recruitment 2026,https://www.indgovtjobs.in/2026/08/HURL-Recruitment.html,21 August 2026,75,26 August 2026,posts/22_hurl-recruitment-2026.md
23,POWERGRID Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/08/powergrid-apprentice-recruitment.html,24 August 2026,270,10 September 2026,posts/23_powergrid-apprentice-recruitment-2026.md
24,BEML Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/08/beml-apprentice-recruitment.html,25 August 2026,1346,08 September 2026,posts/24_beml-apprentice-recruitment-2026.md
25,NSI Kanpur Young Professional Recruitment 2026,https://www.indgovtjobs.in/2026/08/nsi-kanpur-young-professional.html,18 August 2026,1,31 August 2026,posts/25_nsi-kanpur-young-professional-recruitment-2026.md
26,UPSC Advertisement No.10/2026,https://www.indgovtjobs.in/2026/08/upsc-advertisement-no-10-2026.html,24 August 2026,34,04 September 2026,posts/26_upsc-advertisement-no-10-2026.md
27,Indian Statistical Institute Recruitment 2026,https://www.indgovtjobs.in/2026/07/indian-statistical-institute.html,29 July 2026,4,31 July 2026,posts/27_indian-statistical-institute-recruitment-2026.md
28,IBPS Specialist Officer Recruitment 2026,https://www.indgovtjobs.in/2026/07/IBPS-SO-Notification.html,26 July 2026,1035+,21 July 2026,posts/28_ibps-specialist-officer-recruitment-2026.md
29,IUAC Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/07/IUAC-Apprentice-Recruitment.html,26 July 2026,10,27 July 2026,posts/29_iuac-apprentice-recruitment-2026.md
30,RITES Individual Consultant Recruitment 2026,https://www.indgovtjobs.in/2026/07/rites-individual-consultant-recruitment.html,10 July 2026,5,26 July 2026,posts/30_rites-individual-consultant-recruitment-2026.md
31,AVNL Recruitment 2026,https://www.indgovtjobs.in/2026/07/AVNL-Recruitment.html,24 July 2026,1213,25 July 2026,posts/31_avnl-recruitment-2026.md
32,DPCC Various Posts Recruitment 2026,https://www.indgovtjobs.in/2026/07/dpcc-various-posts-recruitment.html,17 August 2026,54,31 August 2026,posts/32_dpcc-various-posts-recruitment-2026.md
33,ISRO LPSC Recruitment 2026,https://www.indgovtjobs.in/2026/08/isro-lpsc-advertisement-no-lpsc-02-2026.html,30 August 2026,19,04 September 2026,posts/33_isro-lpsc-recruitment-2026.md
34,RCI Hyderabad JRF & RA Recruitment 2026,https://www.indgovtjobs.in/2026/08/rci-hyderabad-jrf-ra-recruitment-2026.html,30 August 2026,21,13 September 2026,posts/34_rci-hyderabad-jrf-ra-recruitment-2026.md
35,"IIT Bombay Technical, Officer, Nursing & Other Posts 2026",https://www.indgovtjobs.in/2026/08/iit-bombay-advertisement-no-02-2026.html,30 August 2026,27,04 September 2026,posts/35_iit-bombay-technical-officer-nursing-other-posts-2026.md
36,AWEIL Executive Finance Recruitment 2026,https://www.indgovtjobs.in/2026/08/aweil-executive-finance-recruitment.html,30 August 2026,9,31 August 2026,posts/36_aweil-executive-finance-recruitment-2026.md
37,Income Tax Pune Sports Quota Recruitment 2026,https://www.indgovtjobs.in/2026/08/income-tax-pune-sports-quota.html,30 August 2026,85,15 September 2026,posts/37_income-tax-pune-sports-quota-recruitment-2026.md
38,CPCL Junior Engineering Assistant Recruitment 2026,https://www.indgovtjobs.in/2026/08/cpcl-junior-engineering-assistant.html,30 August 2026,60,11 September 2026,posts/38_cpcl-junior-engineering-assistant-recruitment-2026.md
39,Indbank Relationship Manager & Dealer Recruitment 2026,https://www.indgovtjobs.in/2026/08/indbank-relationship-manager-dealer.html,30 August 2026,14,31 August 2026,posts/39_indbank-relationship-manager-dealer-recruitment-2026.md
40,High Court of Karnataka Assistant Recruitment 2026,https://www.indgovtjobs.in/2026/08/high-court-of-karnataka-assistant.html,30 August 2026,18,11 September 2026,posts/40_high-court-of-karnataka-assistant-recruitment-2026.md
